Value,Name,Stack Size,Effect,Locations,"","","","","","",Drop Restrictions
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cataclysm"",  ""The Cataclysm"")",13,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Level 21 Spell GemCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Strange_Sinkhole"",  ""Strange Sinkhole"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Concealed_Cavity"",  ""Concealed Cavity"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sunken_Shingle"",  ""Sunken Shingle"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Clouded_Ridge"",  ""Clouded Ridge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forgotten_Oubliette"",  ""Forgotten Oubliette"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Remote_Gulch"",  ""Remote Gulch"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cremated_Archives_(Act_10)"",  ""Cremated Archives (Act 10)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Mystical_Clearing"",  ""Mystical Clearing"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Covered-up_Hollow"",  ""Covered-up Hollow"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Hidden_Patch"",  ""Hidden Patch"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Entombed_Alcove"",  ""Entombed Alcove"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Secret_Laboratory"",  ""Secret Laboratory"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Secluded_Copse"",  ""Secluded Copse"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forbidden_Chamber"",  ""Forbidden Chamber"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Quarantined_Quarters"",  ""Quarantined Quarters"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Inner_Grounds"",  ""Inner Grounds"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sealed_Corridors"",  ""Sealed Corridors"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Restricted_Gallery"",  ""Restricted Gallery"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Disused_Furnace"",  ""Disused Furnace"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Blind_Alley"",  ""Blind Alley"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Entombed_Chamber"",  ""Entombed Chamber"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sacred_Chambers"",  ""Sacred Chambers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Stagnant_Canal"",  ""Stagnant Canal"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Walled-off_Ducts"",  ""Walled-off Ducts"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Neglected_Cellar"",  ""Neglected Cellar"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arcane_Chambers"",  ""Arcane Chambers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forgotten_Conduit"",  ""Forgotten Conduit"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ancient_Catacomb"",  ""Ancient Catacomb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Haunted_Mineshaft"",  ""Haunted Mineshaft"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Abandoned_Dam"",  ""Abandoned Dam"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Desolate_Track"",  ""Desolate Track"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Reclaimed_Barracks"",  ""Reclaimed Barracks"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sealed_Basement"",  ""Sealed Basement"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Secluded_Canal"",  ""Secluded Canal"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forbidden_Archives"",  ""Forbidden Archives"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cremated_Archives_(Act_5)"",  ""Cremated Archives (Act 5)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Twisted_Inquisitorium"",  ""Twisted Inquisitorium"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Deathly_Chambers"",  ""Deathly Chambers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Restricted_Collection"",  ""Restricted Collection"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Side_Chapel"",  ""Side Chapel"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Radiant_Pools"",  ""Radiant Pools"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Clouded_Ledge"",  ""Clouded Ledge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Flooded_Complex"",  ""Flooded Complex"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forbidden_Shrine"",  ""Forbidden Shrine"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sealed_Repository"",  ""Sealed Repository"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Evacuated_Quarter"",  ""Evacuated Quarter"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Concealed_Caldarium"",  ""Concealed Caldarium"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Moonlit_Chambers"",  ""Moonlit Chambers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shifting_Sands"",  ""Shifting Sands"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Forgotten_Gulch"",  ""Forgotten Gulch"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Desolate_Isle"",  ""Desolate Isle"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dusty_Bluff"",  ""Dusty Bluff"")",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Catalyst"",  ""The Catalyst"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Orb"",  ""Vaal Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vaal_City"",  ""The Vaal City"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Temple_of_Decay_Level_1"",  ""The Temple of Decay Level 1"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Temple_of_Decay_Level_2"",  ""The Temple of Decay Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ancient_City_Map_(Betrayal)"",  ""Ancient City Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Maze_Map_(Betrayal)"",  ""Maze Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaal_Pyramid_Map_(Betrayal)"",  ""Vaal Pyramid Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vaults_of_Atziri_(Betrayal)"",  ""Vaults of Atziri"")",N/A
9.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Celestial_Justicar"",  ""The Celestial Justicar"")",6,"=HYPERLINK("""",  ""Six-Link Astral Plate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crypt_(Act_7)"",  ""The Crypt (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cursed_Crypt_Map_(Betrayal)"",  ""Cursed Crypt Map"")","","","","","",N/A
25.65,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Celestial_Stone"",  ""The Celestial Stone"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/Opal_Ring"",  ""Opal RingItem Level: 100Shaper Item"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Basilica_Map_(Betrayal)"",  ""Basilica Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_of_the_Hydra_Map_(Betrayal)"",  ""Lair of the Hydra Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Terrace_Map_(Betrayal)"",  ""Terrace Map"")","","","","",Can drop from Jeweller's Strongboxes.
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chains_that_Bind"",  ""The Chains that Bind"")",11,"=HYPERLINK("""",  ""Six-Link Body Armour"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Cage_Map_(Betrayal)"",  ""Cage Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lava_Chamber_Map_(Betrayal)"",  ""Lava Chamber Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pen_Map_(Betrayal)"",  ""Pen Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pit_Map_(Betrayal)"",  ""Pit Map"")","","","",N/A
0.47,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Coming_Storm"",  ""The Coming Storm"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lightning_Coil"",  ""Lightning Coil"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colonnade_Map_(Betrayal)"",  ""Colonnade Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Graveyard_Map_(Betrayal)"",  ""Graveyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Infested_Valley_Map_(Betrayal)"",  ""Infested Valley Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Leyline_Map_(Betrayal)"",  ""Leyline Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shipyard_Map_(Betrayal)"",  ""Shipyard Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Villa_Map_(Betrayal)"",  ""Villa Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Wharf_Map_(Betrayal)"",  ""Wharf Map"")",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Conduit"",  ""The Conduit"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Doryani%27s_Fist"",  ""Doryani's Fist"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Upper_Sceptre_of_God"",  ""The Upper Sceptre of God"")","","","","","","",Dominus or corresponding bosses
2.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cursed_King"",  ""The Cursed King"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Rigwald%27s_Curse"",  ""Rigwald's Curse"")","","","","","","","",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dapper_Prodigy"",  ""The Dapper Prodigy"")",6,"=HYPERLINK("""",  ""Six-Link Body ArmourItem Level: 100"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Residence_Map_(Betrayal)"",  ""Residence Map"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dark_Mage"",  ""The Dark Mage"")",6,"=HYPERLINK("""",  ""Six-Link StaffItem Level: 55"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_2_(Act_7)"",  ""The Chamber of Sins Level 2 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Darkest_Dream"",  ""The Darkest Dream"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Severed_in_Sleep"",  ""Severed in SleepCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Whakawairua_Tuahu_(Betrayal)"",  ""Whakawairua Tuahu"")","","","","","","",N/A
0.58,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Deceiver"",  ""The Deceiver"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Belt_of_the_Deceiver"",  ""Belt of the DeceiverCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grand_Arena"",  ""The Grand Arena"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arena_Map_(Betrayal)"",  ""Arena Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colosseum_Map_(Betrayal)"",  ""Colosseum Map"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Demoness"",  ""The Demoness"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Death%27s_Hand"",  ""Death's Hand"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Northern_Forest_(Act_7)"",  ""The Northern Forest (Act 7)"")","","","","","","",N/A
944.62,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Doctor"",  ""The Doctor"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Headhunter"",  ""Headhunter"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Burial_Chambers_Map_(Betrayal)"",  ""Burial Chambers Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Spider_Forest_Map_(Betrayal)"",  ""Spider Forest Map"")","","","","","",N/A
0.47,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Doppelganger"",  ""The Doppelganger"")",2,"=HYPERLINK("""",  ""Superior Mirror ArrowQuality: +20%"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crossroads_(Act_7)"",  ""The Crossroads (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Whakawairua_Tuahu_(Betrayal)"",  ""Whakawairua Tuahu"")","","","","","",N/A
0.97,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dragon"",  ""The Dragon"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Coruscating_Elixir"",  ""Coruscating Elixir"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Dark_Forest_Map_(Betrayal)"",  ""Dark Forest Map"")","","","","","","",N/A
45.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dragon%27s_Heart"",  ""The Dragon's Heart"")",11,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""Level 4 EmpowerCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Pit_of_the_Chimera_Map_(Betrayal)"",  ""Pit of the Chimera Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Putrid_Cloister_(Betrayal)"",  ""The Putrid Cloister"")","","","","","",N/A
4.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dreamer"",  ""The Dreamer"")",6,"=HYPERLINK("""",  ""Chayula Item"")","","","","","","","",The Dreamer can drop from Agents of the Void.
0.96,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dreamland"",  ""The Dreamland"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Poorjoy%27s_Asylum_(War_for_the_Atlas)"",  ""Poorjoy's Asylum"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Laboratory_Map_(Betrayal)"",  ""Laboratory Map"")","","","","","","",Can drop from Cartographer's Strongboxes.
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Drunken_Aristocrat"",  ""The Drunken Aristocrat"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Divination_Distillate"",  ""Divination Distillate"")","","","","","","","",N/A
5.44,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Endless_Darkness"",  ""The Endless Darkness"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Voidforge"",  ""Voidforge"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beachhead_(High_Tier)_(Betrayal)"",  ""The Beachhead (High Tier)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beachhead_(Low_Tier)_(Betrayal)"",  ""The Beachhead (Low Tier)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Beachhead_(Mid_Tier)_(Betrayal)"",  ""The Beachhead (Mid Tier)"")","","","","",N/A
0.54,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Endurance"",  ""The Endurance"")",4,"=HYPERLINK("""",  ""Vivid Crimson Jewel"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mines_Level_1"",  ""The Mines Level 1"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Mines_Level_2"",  ""The Mines Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crystal_Veins"",  ""The Crystal Veins"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Tunnel"",  ""The Tunnel"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Excavation_Map_(Betrayal)"",  ""Excavation Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Geode_Map_(Betrayal)"",  ""Geode Map"")","",N/A
13.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Enlightened"",  ""The Enlightened"")",6,"=HYPERLINK("""",  ""Level 3 Enlighten"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ashen_Wood_Map_(Betrayal)"",  ""Ashen Wood Map"")","","","","","","",N/A
25.05,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ethereal"",  ""The Ethereal"")",7,"=HYPERLINK("""",  ""Six-Link Vaal Regalia"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Apex_of_Sacrifice"",  ""The Apex of Sacrifice"")","","","","","","",The Eternal Labyrinth
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Explorer"",  ""The Explorer"")",6,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""MapCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Dread_Thicket_(Act_7)"",  ""The Dread Thicket (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Thicket_Map_(Betrayal)"",  ""Thicket Map"")","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Eye_of_the_Dragon"",  ""The Eye of the Dragon"")",10,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""JewelCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Boiling_Lake"",  ""The Boiling Lake"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Marshes_Map_(Betrayal)"",  ""Marshes Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sulphur_Vents_Map_(Betrayal)"",  ""Sulphur Vents Map"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fathomless_Depths"",  ""The Fathomless Depths"")",8,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lightpoacher"",  ""Lightpoacher"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Cavern_of_Anger_(Act_6)"",  ""The Cavern of Anger (Act 6)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Flooded_Mine_Map_(Betrayal)"",  ""Flooded Mine Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Underground_Sea_Map_(Betrayal)"",  ""Underground Sea Map"")","","","","",N/A
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Feast"",  ""The Feast"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Romira%27s_Banquet"",  ""Romira's BanquetCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Northern_Forest_(Act_2)"",  ""The Northern Forest (Act 2)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sewers"",  ""The Sewers"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Toxic_Conduits"",  ""The Toxic Conduits"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Lair_of_the_Hydra_Map_(Betrayal)"",  ""Lair of the Hydra Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Toxic_Sewer_Map_(Betrayal)"",  ""Toxic Sewer Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Waste_Pool_Map_(Betrayal)"",  ""Waste Pool Map"")","",N/A
621.12,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fiend"",  ""The Fiend"")",11,"=HYPERLINK(""https://pathofexile.gamepedia.com/Headhunter"",  ""HeadhunterCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Putrid_Cloister_(Betrayal)"",  ""The Putrid Cloister"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Shrine_Map_(Betrayal)"",  ""Shrine Map"")","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fletcher"",  ""The Fletcher"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Drillneck"",  ""DrillneckCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Climb"",  ""The Climb"")","","","","","","","Ironpoint the Forsaken, Steelpoint the Avenger, Lieutenant of the Bow"
0.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Flora%27s_Gift"",  ""The Flora's Gift"")",5,"=HYPERLINK("""",  ""Five-Link StaffItem Level: 66"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Jungle_Valley_Map_(Betrayal)"",  ""Jungle Valley Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Tropical_Island_Map_(Betrayal)"",  ""Tropical Island Map"")","","","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Formless_Sea"",  ""The Formless Sea"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Varunastra"",  ""Varunastra"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Reef_Map_(Betrayal)"",  ""Reef Map"")","","","","","","",N/A
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Forsaken"",  ""The Forsaken"")",7,"=HYPERLINK(""https://pathofexile.gamepedia.com/Umbilicus_Immortalis"",  ""Umbilicus Immortalis"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Bone_Crypt_Map_(Betrayal)"",  ""Bone Crypt Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Olmec%27s_Sanctum"",  ""Olmec's Sanctum"")","","","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fox"",  ""The Fox"")",6,"=HYPERLINK("""",  ""Level 20 Gem"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Western_Forest_(Act_2)"",  ""The Western Forest (Act 2)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vaal_City"",  ""The Vaal City"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crossroads_(Act_7)"",  ""The Crossroads (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fellshrine_Ruins_(Act_7)"",  ""The Fellshrine Ruins (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Barrows_Map_(Betrayal)"",  ""Barrows Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Sunken_City_Map_(Betrayal)"",  ""Sunken City Map"")","",N/A
0.98,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Garish_Power"",  ""The Garish Power"")",4,"=HYPERLINK("""",  ""Jewel"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_1_(Act_7)"",  ""The Chamber of Sins Level 1 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Chamber_of_Sins_Level_2_(Act_7)"",  ""The Chamber of Sins Level 2 (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Ruin_Map_(Betrayal)"",  ""Overgrown Ruin Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Overgrown_Shrine_Map_(Betrayal)"",  ""Overgrown Shrine Map"")","","","",N/A
0.48,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Gemcutter"",  ""The Gemcutter"")",3,"=HYPERLINK(""https://pathofexile.gamepedia.com/Gemcutter%27s_Prism"",  ""Gemcutter's Prism"")","","","","","","","",Gemcutter's Strongbox
0.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Gentleman"",  ""The Gentleman"")",4,"=HYPERLINK(""https://pathofexile.gamepedia.com/Corrupted"",  ""SwordCorrupted"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Slums"",  ""The Slums"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Sarn_Ramparts"",  ""The Sarn Ramparts"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grain_Gate"",  ""The Grain Gate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Ghetto_Map_(Betrayal)"",  ""Ghetto Map"")","","","",N/A
2.86,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Gladiator"",  ""The Gladiator"")",5,"=HYPERLINK(""https://pathofexile.gamepedia.com/Nightmare_Bascinet"",  ""Nightmare Bascinet"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Daresso%27s_Dream"",  ""Daresso's Dream"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Grand_Arena"",  ""The Grand Arena"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Arena_Map_(Betrayal)"",  ""Arena Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Colosseum_Map_(Betrayal)"",  ""Colosseum Map"")","","","",N/A
3.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hale_Heart"",  ""The Hale Heart"")",4,"=HYPERLINK("""",  ""ItemItem Level: 100Elder Item"")","","","","","","","",Can drop from Elder guardians.
1.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvester"",  ""The Harvester"")",11,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvest"",  ""The Harvest"")","","","","","","","",N/A
0.42,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hermit"",  ""The Hermit"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Lifesprig"",  ""Lifesprig"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Broken_Bridge_(Act_7)"",  ""The Broken Bridge (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Causeway"",  ""The Causeway"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Vaal_City"",  ""The Vaal City"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Crossroads_(Act_7)"",  ""The Crossroads (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Fellshrine_Ruins_(Act_7)"",  ""The Fellshrine Ruins (Act 7)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Ashen_Fields"",  ""The Ashen Fields"")","",N/A
9.6,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hoarder"",  ""The Hoarder"")",12,"=HYPERLINK(""https://pathofexile.gamepedia.com/Exalted_Orb"",  ""Exalted Orb"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_Level_1"",  ""The Belly of the Beast Level 1"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_Level_2"",  ""The Belly of the Beast Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvest_(area)"",  ""The Harvest (area)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Rotting_Core"",  ""The Rotting Core"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Vault_Map_(Betrayal)"",  ""Vault Map"")","","",N/A
5.0,"=HYPERLINK(""https://pathofexile.gamepedia.com/The_Hunger"",  ""The Hunger"")",9,"=HYPERLINK(""https://pathofexile.gamepedia.com/Taste_of_Hate"",  ""Taste of Hate"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_Level_1"",  ""The Belly of the Beast Level 1"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_Level_2"",  ""The Belly of the Beast Level 2"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Harvest_(area)"",  ""The Harvest (area)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Belly_of_the_Beast_(Act_9)"",  ""The Belly of the Beast (Act 9)"")","=HYPERLINK(""https://pathofexile.gamepedia.com/The_Rotting_Core"",  ""The Rotting Core"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Carcass_Map_(Betrayal)"",  ""Carcass Map"")","=HYPERLINK(""https://pathofexile.gamepedia.com/Malformation_Map_(Betrayal)"",  ""Malformation Map"")",N/A
